timestamp,temperature_C,humidity_%,wind_speed_kmph,pressure_hPa,visibility_km
03/03/2023 3:00,15.9,68.9,6.6,1015.3,10.4
03/03/2023 4:00,25.7,64.3,8.4,1012.3,10.3
03/03/2023 5:00,20.9,68.1,8.4,1011.1,10.9
03/03/2023 6:00,20.8,50,10.9,1013.5,10.9
03/03/2023 7:00,20.7,65,12.8,1010.3,9.9
03/03/2023 8:00,22.3,70.3,10.3,1007.2,8.8
03/03/2023 9:00,25.7,62.3,16.7,1008.9,10.4
03/03/2023 10:00,24.8,62.7,15.8,,10.6
03/03/2023 11:00,21.2,60.5,17.8,1008,8.9
03/03/2023 12:00,25.5,,15.1,1012.1,10.5
03/03/2023 13:00,21.9,50.1,13.7,1007.6,10.7
03/03/2023 14:00,22.4,68.6,13,1012.1,9.2
03/03/2023 15:00,24.7,66.3,16.3,1007.8,10.9
03/03/2023 16:00,24.4,60.3,15.2,1019.9,10.2
03/03/2023 17:00,,58.5,12.7,1015,10.1
03/03/2023 18:00,23.3,,,1027,9.1
03/03/2023 19:00,24.4,71.7,8.2,1014.1,11.5
03/03/2023 20:00,22.7,71.8,8.4,1020.2,
03/03/2023 21:00,20.9,75.8,8.5,1009.3,
03/03/2023 22:00,18.6,65.9,4.7,1010.3,8.8
03/03/2023 23:00,15.4,78.8,6.9,1021.9,10
04/03/2023 0:00,16.7,77,7.3,1017.7,8.9
04/03/2023 1:00,18.7,88.1,3.2,1012.8,10.6
04/03/2023 2:00,17.9,82.4,4,1011.4,9.7
04/03/2023 3:00,16,68.3,6.9,1023.1,9.1
04/03/2023 4:00,21.5,70.9,5.3,1023.8,10.1
04/03/2023 5:00,22.1,70.1,7.8,,8
04/03/2023 6:00,27.1,65.1,12.7,1013.3,11.4
04/03/2023 7:00,23.7,,12.7,1003.4,11.4
04/03/2023 8:00,21.9,60.3,,1005.2,9
04/03/2023 9:00,24.2,54,11.3,1016.8,
04/03/2023 10:00,26.8,57.6,13,1010.4,10.9
04/03/2023 11:00,24.4,60,17,1017.3,11.8
04/03/2023 12:00,,54.8,15.9,1012.7,9.6
04/03/2023 13:00,25.7,56.5,12.8,1009.3,9.5
04/03/2023 14:00,24,59.1,14.8,1013.9,9.3
04/03/2023 15:00,19.5,62.4,14.7,1004.1,10.5
04/03/2023 16:00,23,57.1,12,1011.3,11.2
04/03/2023 17:00,23.7,59.7,12.2,1014.2,
04/03/2023 18:00,19.8,72.7,12,1021,9.9
04/03/2023 19:00,21.1,78,4.7,1012.5,6.8
04/03/2023 20:00,18.7,68.7,6.5,1012.9,9.2
04/03/2023 21:00,20.8,70.1,6.4,1014.8,8.1
04/03/2023 22:00,19.7,76,7.3,1013.3,9.5
04/03/2023 23:00,15.9,76.1,8.2,1012.9,10.3
05/03/2023 0:00,19.7,70.6,,1004.2,10.2
05/03/2023 1:00,12.4,76.6,5,1010.7,11.6
05/03/2023 2:00,18.7,,4.8,1004.2,10.5
05/03/2023 3:00,18.9,76.1,6.3,1018.6,
05/03/2023 4:00,21.2,76.3,5.5,1005.3,12.4
05/03/2023 5:00,21,66.1,6.8,1008,9.3
05/03/2023 6:00,19.6,74.5,7.8,1007.8,8.7
05/03/2023 7:00,20.5,61.1,11.9,1010.8,10.4
05/03/2023 8:00,24.7,67.2,12.9,,12.1
05/03/2023 9:00,,60.6,15.6,1008.8,9
05/03/2023 10:00,23.3,52.4,13.3,1017.1,10.1
05/03/2023 11:00,23.1,55.5,15.8,1013.2,9.8
05/03/2023 12:00,22.8,60,15.4,1011.6,12.6
05/03/2023 13:00,24.5,54.1,14.1,1019.7,10
05/03/2023 14:00,24.9,64.7,15.6,,9.2
05/03/2023 15:00,24.7,68.6,12.3,1010,10.3
05/03/2023 16:00,24.1,55.8,,1018.9,9.2
05/03/2023 17:00,22.5,59.4,10.5,1005.8,10.6
05/03/2023 18:00,24.2,59.9,9.2,1015.7,9.1
05/03/2023 19:00,23.3,62.9,8.7,1011.5,9.2
05/03/2023 20:00,22.2,75.8,10,1018.4,8.5
05/03/2023 21:00,23.9,69.1,5.6,1013.1,11.8
05/03/2023 22:00,16.8,78.9,7.3,1009.9,8.3
05/03/2023 23:00,18.4,82.3,6,1016.7,8.4
06/03/2023 0:00,17.8,82.1,6,,8.4
06/03/2023 1:00,18.5,76.3,6.6,1008.9,10.7
06/03/2023 2:00,21.1,78.7,6.9,1012.2,9.6
06/03/2023 3:00,21.9,71.8,9.2,1015.1,9.2
06/03/2023 4:00,17.9,66.8,6.6,1003.6,8.8
06/03/2023 5:00,16.6,75.2,8.4,,10.4
06/03/2023 6:00,23.3,64.9,8.5,1010.4,10.2
06/03/2023 7:00,24.8,65,10.4,1012.4,9.8
06/03/2023 8:00,22.5,70.7,10.8,1016.3,10.9
06/03/2023 9:00,26,53.3,13.3,1012.3,12.4
06/03/2023 10:00,25.4,56,13.5,1007.1,10.6
06/03/2023 11:00,24.3,57,14.7,1014.6,8.4
06/03/2023 12:00,26.2,67.1,15,1013.5,11.2
06/03/2023 13:00,20.8,53.1,16.3,1009.6,
06/03/2023 14:00,21.3,,13.9,1012.3,8.2
06/03/2023 15:00,22.7,59.3,12.3,1015.7,10.3
06/03/2023 16:00,24.7,56.5,12.6,1006.8,9.5
06/03/2023 17:00,23.5,67.7,,,8.2
06/03/2023 18:00,25.6,68,8.6,,
06/03/2023 19:00,23.2,78.6,,1019,8.1
06/03/2023 20:00,23.9,69.5,6.4,1010.8,10.5
06/03/2023 21:00,15.5,73.1,,1004.7,10.6
06/03/2023 22:00,19.8,73.7,4.3,1011.6,8.5
06/03/2023 23:00,17.3,77.3,3.7,1017.3,10.7
07/03/2023 0:00,15.8,78.5,,1013.6,10.3
07/03/2023 1:00,17.6,71.1,6.6,1011.1,11
07/03/2023 2:00,17.9,,3.7,,10.8
07/03/2023 3:00,,73.3,8.6,1008.6,10.5
07/03/2023 4:00,19.8,68.6,,1004.2,9.8
07/03/2023 5:00,23.4,68,9,1007.4,10
07/03/2023 6:00,19.9,66.9,8.3,1015,10
07/03/2023 7:00,25.7,59.3,11.4,1015.2,9.8
07/03/2023 8:00,23.1,56.7,11.5,998.1,9.7
07/03/2023 9:00,25.9,65.3,13.6,1012.9,9.3
07/03/2023 10:00,24.4,57.3,15.3,1009,10.5
07/03/2023 11:00,22.5,53.9,16.2,1009,9.4
07/03/2023 12:00,24.8,64.4,14.6,1012.2,10.4
07/03/2023 13:00,24.5,62.3,14.9,1009.3,9.5
07/03/2023 14:00,24.2,62.5,15,1009.7,9.9
07/03/2023 15:00,22.9,56.9,13.6,1012.3,9.4
07/03/2023 16:00,20,60.5,,,9
07/03/2023 17:00,20.7,64.2,8.7,1002.6,10.3
07/03/2023 18:00,20.5,64,7.8,1016.8,11
07/03/2023 19:00,21.9,67.2,9.5,1009,11.3
07/03/2023 20:00,23.2,58.4,9.3,,9.1
07/03/2023 21:00,15.4,75,5.6,1014.2,9.7
07/03/2023 22:00,15.3,72,7.3,1017.9,10.1
07/03/2023 23:00,17.6,80.8,3.9,1012.7,10.9
08/03/2023 0:00,13.5,76.1,6.2,1015.1,8.5
08/03/2023 1:00,,83.3,5.2,1005.1,9.1
08/03/2023 2:00,17.4,,5.5,1010.2,7.9
08/03/2023 3:00,14.8,78.5,6.4,1015.7,9.4
08/03/2023 4:00,21.2,70.5,7.1,1018,
08/03/2023 5:00,18.5,67.7,8.4,1003.6,10.3
08/03/2023 6:00,21.6,68,8.1,1009.4,8.5
08/03/2023 7:00,23.4,68,13.5,1003.5,10.7
08/03/2023 8:00,26,56.9,11.3,1007.5,9.3
08/03/2023 9:00,22.3,62.2,13.8,1008.1,9.4
08/03/2023 10:00,,62.8,16.9,1009.3,9.3
08/03/2023 11:00,24.9,63,13.9,1004,9.6
08/03/2023 12:00,23.7,61.8,15.3,1006.5,11.6
08/03/2023 13:00,,63.8,15.2,1002.7,11.3
08/03/2023 14:00,24.6,49.9,13.6,1011.2,9.2
08/03/2023 15:00,23.6,60.6,14.2,1016.4,10.2
08/03/2023 16:00,25.5,61.3,10.6,1013.5,9.8
08/03/2023 17:00,24.4,72.1,11.3,1010.6,10.8
08/03/2023 18:00,22.5,,7.5,1008.4,9.2
08/03/2023 19:00,21.5,71.8,11.1,1017.4,9.1
08/03/2023 20:00,19,67.7,6.5,1012.5,9.4
08/03/2023 21:00,17.3,80.9,10.3,1017.4,8.7
08/03/2023 22:00,15.2,66.2,3.8,1006.3,9.6
08/03/2023 23:00,17.9,,5.7,1019.2,10.7
09/03/2023 0:00,14.3,83.8,6.3,1001.7,8.3
09/03/2023 1:00,17.3,86.6,4.4,1013.9,10.2
09/03/2023 2:00,15.6,73.2,5.4,1006.1,11.2
09/03/2023 3:00,21.5,64.1,5.8,1019.4,10.2
09/03/2023 4:00,17.8,61.9,8.9,1008.9,8.1
09/03/2023 5:00,21.2,72.3,7.9,1022.8,9.9
09/03/2023 6:00,20.6,62,11.2,1010.2,9.2
09/03/2023 7:00,21.3,68,8.8,1012.5,10.4
09/03/2023 8:00,22.8,61,,1016.1,9.5
09/03/2023 9:00,21.2,56.9,15.5,,11.4
09/03/2023 10:00,25.1,58.9,17.4,1013.3,9.6
09/03/2023 11:00,25.7,62.2,13.5,1000.2,9.2
09/03/2023 12:00,27.1,64.9,14.8,1012,9.3
09/03/2023 13:00,25,64.1,17.4,1013,9.6
09/03/2023 14:00,,64.9,12.2,1012.7,11.9
09/03/2023 15:00,23.7,58.9,13.4,1014,9.8
09/03/2023 16:00,21.5,51.8,15.4,1008.2,9.6
09/03/2023 17:00,24.3,66.8,11,1009.7,9.4
09/03/2023 18:00,23.6,63.4,10.9,1009.4,11.7
09/03/2023 19:00,18.6,66.7,6.5,,9.8
09/03/2023 20:00,19.6,68.4,7.8,1008.3,11.4
09/03/2023 21:00,14.7,72.8,6.8,1016.6,10.6
09/03/2023 22:00,19,74.6,4.4,1017,10.2
09/03/2023 23:00,16.2,83.1,6.3,,10.4
10/03/2023 0:00,17.7,77.3,6.4,1011.7,11.4
10/03/2023 1:00,16.3,77.7,5.9,1000.1,10.4
10/03/2023 2:00,16.8,67.7,4.5,1010.1,10.8
10/03/2023 3:00,17.3,80.1,7.2,1010,11.2
10/03/2023 4:00,20,67.3,9.7,1017.1,10
10/03/2023 5:00,21.8,66.3,10.2,1019.9,8.9
10/03/2023 6:00,23.3,61.1,9.6,1014.5,9.1
10/03/2023 7:00,24.4,61.5,11.6,1024.2,10.4
10/03/2023 8:00,24.1,68,13.1,1009.3,10.6
10/03/2023 9:00,28.5,54,11.5,1012.2,10.9
10/03/2023 10:00,25.8,60.9,15.4,1010.1,11.2
10/03/2023 11:00,25.3,64.4,16.5,1004.5,11.8
10/03/2023 12:00,,47.8,17,1013.8,11.4
10/03/2023 13:00,23.7,65.7,15.7,1012.7,9.9
10/03/2023 14:00,24,62.5,14.9,1013.5,9.9
10/03/2023 15:00,22.7,,14.9,1007.7,8.7
10/03/2023 16:00,24.2,64.4,12.3,,8.4
10/03/2023 17:00,22.6,61.8,9.1,1005.7,7.8
10/03/2023 18:00,21.2,68.4,10.5,1009.7,8.9
10/03/2023 19:00,23.4,67.2,9.9,1016.9,8.2
10/03/2023 20:00,20.2,,8.2,1013.7,10.3
10/03/2023 21:00,,71.4,4.5,1001.7,10.7
10/03/2023 22:00,20.9,79,5,1017.7,8.9
10/03/2023 23:00,11.5,,7.3,,12.5
